Sample,Sample,Date,Cell_and_Capsule,Cell,Capsule,Cell_and_Capsule_diameter,Cell_diameter,Capsule_diameter,Circles,Residual,QTL
SS-A837,SS-A837,7-120,2954.0,1093.0,1935.5,61.32390674788543,37.30417675651313,25.117308728248574,15,2.144624340303835,1.0
SS-B307,SS-B307,7-120,3015.0,831.0,2065.5,61.95818934875773,32.51253332656997,26.994919633557586,15,3.635013216108959,1.0
SS-B310,SS-B310,7-120,6371.0,2168.0,3964.5,90.06410429028062,52.51784411121159,34.96751678897111,15,-5.55071843925203,0.0
SS-B311,SS-B311,7-150,3293.5,1023.5,2096.5,64.75629459671103,36.09931573154948,26.31915838074852,15,1.2510417879176714,1.0
SS-B312,SS-B312,11-22,7008.5,1610.0,5398.5,94.4522633732853,45.26962544857342,47.17925131987784,15,3.982096847188309,0.0
SS-B313,SS-B313,7-150,3343.0,1278.0,2178.0,65.24086437075651,40.33796374667726,27.184888826432708,15,1.8209481150085303,0.0
SS-B314,SS-B314,10-41,10354.0,2561.0,7299.5,114.7845526182986,57.10312140388432,51.79599363164245,15,-3.813783061941386,1.0
SS-B315,SS-B315,10-25,3101.5,1683.5,1455.5,62.782560180753684,46.29118120928487,17.224004860752167,15,-6.639170204126302,0.0
SS-B316,SS-B316,11-22,4429.0,1663.5,2646.0,75.0882399130346,46.02210267718728,28.779909291031636,15,-2.595737775767681,1.0
SS-B317,SS-B317,10-11,3479.0,1088.0,2371.5,66.5552368539218,37.21431656752923,29.006662896887512,15,2.840313322670333,0.0
SS-B350,SS-B350,11-81,2897.5,1263.5,1562.0,60.735347229402606,40.10907754849395,18.959732092175848,15,-3.653643667537054,0.0
SS-B354,SS-B354,7-120,3097.5,1123.5,1902.5,62.79953641072744,37.816194338643385,24.07150327943811,15,0.19796442684936721,0.0
SS-B356,SS-B356,7-120,2556.0,796.0,1656.0,57.03889546719483,31.833885974668284,23.732052990986602,15,3.375317333582764,0.0
SS-B357,SS-B357,6-214,7716.0,1683.5,6083.0,99.01662380396382,46.245183572744494,53.463426304723605,15,7.479783747820619,0.0
SS-B358,SS-B358,10-11,2966.0,1134.0,1809.5,61.45055571578804,37.99517790567306,23.415460691917254,15,0.36545860628006466,1.0
SS-B360,SS-B360,6-214,1626.0,925.0,665.0,45.500412083182,34.31746523173797,10.800334471416443,15,-2.5122934850828234,1.0
SS-B364,SS-B364,nd,16556.5,2292.0,14235.0,144.75282969881223,53.960828967654834,84.48698064817506,15,10.581925074337533,0.0
SS-B366,SS-B366,nd,3121.5,1388.0,1698.0,63.03380279348792,42.035596141368586,22.454841939598953,15,-1.5617137702270831,1.0
SS-B368,SS-B368,nd,2168.0,761.5,1427.5,52.53935032892806,31.120808545348805,21.247126663744048,15,3.6373101207663012,0.0
SS-B369,SS-B369,nd,2445.0,809.5,1767.0,55.79428121100665,32.10428248451301,25.72499338961975,15,6.128080022103521,0.0
SS-B373,SS-B373,nd,3326.0,1375.0,1971.5,65.05874499775803,41.84019929918065,23.40976325907473,15,-1.8429957281030838,0.0
SS-B374,SS-B374,11-81,3355.0,1529.5,2101.0,65.34667447274998,44.087455564963946,23.96856665028537,15,-1.4599698775455288,1.0
SS-B378,SS-B378,nd,2555.0,750.0,1815.5,57.02772991083455,30.855588224433518,25.91984130425074,15,5.569922087008457,0.0
SS-B379,SS-B379,nd,9910.0,2184.0,7793.0,112.28184272393773,52.716734918759954,60.05266451767887,15,5.970762628198308,0.0
SS-B382,SS-B382,7-150,3172.5,1146.0,1966.0,63.554119175734755,38.19683326319763,24.476527491187944,15,0.14232478104902668,1.0
SS-B383,SS-B383,11-22,2807.5,1148.5,1561.5,59.78286236461095,38.23957510619422,20.791210427435164,15,-1.2406845823578472,0.0
SS-B387,SS-B387,6-214,1888.0,1052.5,694.0,49.02934081200753,36.602801814106144,11.635571136803527,15,-3.831426090539914,0.0
SS-B396,SS-B396,6-214,3796.0,1778.0,2052.0,69.52134428946752,47.579616544683496,22.55333556641279,15,-5.42378753263236,1.0
SS-B397,SS-B397,nd,2532.5,1085.0,1523.5,56.783833085334834,37.1680629847407,20.991617728003497,15,0.7905946394421477,0.0
SS-B399,SS-B399,nd,2028.0,718.5,1309.5,50.79920536880776,30.245622697129086,20.553582671678676,15,4.006104055300312,1.0
SS-B407,SS-B407,nd,2736.0,963.0,1753.0,59.0135442322097,35.013184078967996,23.493214302178636,15,1.930978917532002,0.0
SS-B553,SS-B553,nd,3318.0,1216.5,2098.0,64.9951456660828,39.35521616896182,25.898803034480817,15,0.6848706874354953,0.0
SS-B560,SS-B560,10-18,2532.0,1017.5,1583.0,56.76499615621785,35.943889733154855,20.8545042247153,15,0.6649808586944559,1.0
SS-B563,SS-B563,11-81,1824.0,1066.0,750.5,48.19044638410256,36.84039666104937,11.160907297354697,15,-3.793954798950729,1.0
SS-B564,SS-B564,11-81,2763.5,1133.5,1656.0,59.30366086022359,37.989687970700736,21.441331580102116,15,-0.29801657626151723,0.0
SS-B565,SS-B565,nd,5842.0,1667.5,3980.5,86.2420923912886,46.03700296250955,37.97069664437067,15,-0.2142455023768406,0.0
SS-B569,SS-B569,nd,2516.5,734.0,1762.5,56.60262197680894,30.56824001056132,23.47247034400484,15,3.3820744949666093,0.0
SS-B570,SS-B570,7-150,3419.5,1228.0,2112.5,65.98361453489878,39.5273098701757,27.322638292068966,15,1.505257386040718,0.0
SS-B574,SS-B574,6-214,4019.0,1790.0,2238.0,71.53425508865911,47.73954262976869,23.685683903809174,15,-5.520297442019551,1.0
SS-B575,SS-B575,10-11,3607.5,1422.0,2185.5,67.77274473192546,42.55051859394197,25.519594010730835,15,-1.390029729937055,1.0
SS-B579,SS-B579,6-214,1715.0,936.0,740.5,46.713324258458314,34.51892667303292,11.25702321517338,15,-2.796073285590797,1.0
SS-B580,SS-B580,11-81,4795.0,1302.0,3582.0,78.07614209018347,40.71527279929133,37.42738206282119,15,4.2276560390970985,0.0
SS-B584,SS-B584,nd,7775.0,2466.5,5162.5,99.49591659649009,56.02938903731014,44.30233823682637,15,-1.973906903835605,1.0
SS-B585,SS-B585,nd,2686.0,820.5,1821.5,58.480094195877,32.31186050938443,26.194959049901296,15,4.9583886061242275,0.0
SS-B586,SS-B586,nd,7024.0,2088.0,4845.5,94.5672924476032,51.55906717920035,41.00392043845406,15,-2.2634579242618926,1.0
SS-B587,SS-B587,nd,3001.5,1135.0,1804.5,61.815295957640615,38.014824519842385,24.578257205250157,15,1.3055855138289623,1.0
SS-B588,SS-B588,nd,2644.0,967.0,1636.5,58.021076827992175,35.05481074079644,23.482739748242523,15,2.5263939811717933,0.0
SS-B589,SS-B589,11-81,2336.0,1172.0,1489.5,54.52821100331492,38.5996685243002,19.497622619964808,15,0.6736301470822639,1.0
SS-B591,SS-B591,nd,2805.0,793.5,1940.5,59.76080818177786,31.78431160926433,26.99540126266434,15,4.9769700707719515,0.0
SS-B598,SS-B598,11-22,1668.0,780.0,811.5,46.018473320165015,31.513915099419602,13.771703394617875,15,0.14280517732952624,0.0
SS-B599,SS-B599,11-22,2603.0,1200.0,1141.5,57.56945728995405,39.08820095223359,16.023805587657883,15,-4.6568317903726495,0.0
SS-B600,SS-B600,62140,7400.0,1844.0,5436.0,97.06684619910241,48.45465633447048,48.573826522400665,15,3.780500143487359,0.0
SS-B605,SS-B605,62140,1396.0,796.0,612.5,42.15972490956609,31.833885974668284,10.542924773182067,15,-0.7302531565843982,1.0
SS-B606,SS-B606,nd,2338.0,845.5,1476.0,54.524253458060045,32.7857656792717,21.602601097903253,15,2.7810246596137134,0.0
SS-B611,SS-B611,11-81,2276.5,1324.0,986.0,53.837338677152985,41.02995292813944,11.77590229157061,15,-6.626320793508157,1.0
SS-B621,SS-B621,nd,3555.5,1492.0,2018.0,67.2720182666893,43.5133815526863,24.445197563700646,15,-2.1587385894023328,0.0
SS-B869_cor,SS-B869_cor,nd,6377.0,1777.0,4466.5,89.99310207805617,47.56623268524312,40.69058629540033,15,0.21569707837000607,1.0
SS-B872,SS-B872,10-18,6233.0,1890.0,4115.0,88.9972509609212,49.042598576300016,39.6971094971216,15,-0.16982438559812607,1.0
SS-B872_cor,SS-B872_cor,nd,3522.0,1036.5,2733.5,66.95711941875814,36.31790212316004,33.26899084352107,15,6.857296714425445,0.0
SS-B873_cor,SS-B873_cor,nd,3370.0,1354.0,2034.5,65.50198747252298,41.520673688795206,23.01381736498338,15,-2.5095359131378885,1.0
SS-B874,SS-B874,71200,4394.5,1611.5,2817.5,74.8010715986861,45.29662234741472,29.26513214446525,15,-1.9352020612555627,0.0
SS-B874_cor,SS-B874_cor,11-22,2060.0,716.0,1226.5,51.21361054056928,30.19336870954244,18.30048824330652,15,1.5000201685609902,0.0
SS-B876,SS-B876,nd,3423.0,1091.0,2117.5,66.0154355651949,37.25093316800882,26.108200116953263,15,0.2713928481094072,0.0
SS-B880,SS-B880,nd,5348.0,1643.5,3798.0,82.46457026642612,45.72608268305703,38.04023803352135,15,2.161428487090241,1.0
SS-B886,SS-B886,71500,3248.0,1023.5,2151.0,64.30740890599864,36.04556404348085,26.153441607699527,15,1.3593644224353696,0.0
SS-B886_cor,SS-B886_cor,10-25,2534.5,1020.0,1538.0,56.80187762335417,36.03310559472597,21.500910154053056,15,1.2888710883488734,0.0
SS-B887,SS-B887,71500,4509.0,2007.5,2653.5,75.75956196104056,50.55509001653107,27.17695070724815,15,-4.608530533659174,1.0
SS-B887_cor,SS-B887_cor,71200,8297.0,3219.0,5245.5,102.77873819051266,64.01998199392506,39.977446426787886,15,-8.302922488337416,1.0
SS-B890_cor,SS-B890_cor,nd,2966.0,1162.0,2050.0,61.452652421880806,38.46432569254606,25.984911160301422,15,2.9336290603813353,1.0
SS-B892_cor,SS-B892_cor,62140,3709.5,1664.0,2198.5,68.72389648041518,46.029019134012735,24.198545367190842,15,-3.291745271654367,1.0
SS-B896_cor,SS-B896_cor,nd,8503.0,2740.0,5770.0,104.04977582331972,59.0650180104463,45.06025407783343,15,-3.9960682862348307,1.0
SS-B898_cor,SS-B898_cor,nd,3294.5,1393.5,1835.0,64.76215606187655,42.121940576528836,23.75976386939147,15,-1.3119310786301668,1.0
SS-B901_cor,SS-B901_cor,nd,3136.0,1254.5,1925.0,63.025535874261884,39.83472901839862,23.926599214794624,15,-0.08490963857333966,1.0
SS-B905,SS-B905,nd,7092.5,2423.0,4846.0,95.006346159727,55.534763664991544,37.21587612364813,15,-6.31953933993735,1.0
SS-B906,SS-B906,10-18,6228.0,1886.5,4233.5,89.0476582522731,49.00985637093258,39.21685611780271,15,-0.680850820385082,1.0
SS-B906_cor,SS-B906_cor,nd,3431.5,1492.5,1931.0,66.09931633038738,43.589462089463034,22.460712168716814,15,-3.427303315659838,1.0
SS-B908,SS-B908,71200,3123.0,1181.5,1981.0,63.055854382952575,38.78440500175823,25.801214843893746,15,1.77119689938786,0.0
SS-B908_cor,SS-B908_cor,nd,5524.0,2315.0,3046.0,83.7056068678377,54.290669616096665,28.665072981988555,15,-7.9713747383831794,1.0
SS-B926,SS-B926,nd,2907.0,1020.0,1915.5,60.83780830373221,36.03310559472597,25.997978320593248,15,3.322051286271055,1.0
SS-B927,SS-B927,10-18,3343.0,1052.5,2320.0,65.24086437075651,36.602801814106144,30.26115441775545,15,4.8972137063312715,1.0
SS-B929,SS-B929,11-22,7950.0,2745.0,5223.0,100.50743203108723,59.014837627697204,41.46726458827766,15,-5.426498767325974,1.0
SS-B930,SS-B930,71200,3715.0,1523.0,2104.0,68.77210841918661,44.033126130757594,24.5030913075001,15,-3.0166321500157096,1.0
SS-B952,SS-B952,62140,3299.0,1488.0,1773.5,64.80687318402309,43.52677845379694,21.484446926219487,15,-3.61454729623809,1.0
SS-B956,SS-B956,11-81,3662.0,1649.5,2029.5,68.28294913074109,45.82222834933386,23.07022799610623,15,-4.150869498531112,0.0
SS-B960_cor,SS-B960_cor,nd,3141.5,1248.0,1885.0,63.24413972081905,39.86148084066372,23.671107855211332,15,-0.4738560622003405,0.0
SS-B961,SS-B961,11-22,2294.0,932.0,1541.0,54.02413290668579,34.37616338889475,20.950669537559293,15,2.434410783584937,1.0
SS-B961_cor,SS-B961_cor,nd,5859.0,1796.5,4078.5,86.28650381563455,47.79343746405992,38.745474765131846,15,0.5334199688417698,1.0
SS-B996,SS-B996,10-18,4277.0,1831.5,2272.0,73.79424962327313,48.28499423727056,23.51816665312558,15,-7.067514639000631,1.0
SS-B997,SS-B997,nd,9732.5,2067.5,7586.0,111.28537978156896,51.30682594448197,59.04683132559782,15,5.573258282500248,0.0
SS-B998,SS-B998,nd,2468.0,871.5,1607.5,56.05671410639748,33.310478736534805,21.52458443991632,15,1.7674588921793735,0.0
SS-C001,SS-C001,nd,2779.0,1035.0,1729.5,59.48388504694236,36.300602300314424,23.317830643771355,15,1.4684577519807043,1.0
SS-C026_cor,SS-C026_cor,11-81,2884.0,1232.0,1717.0,60.59721814585394,39.60594802695323,22.090657738053096,15,-0.43839184908046747,1.0
SS-C029_cor,SS-C029_cor,11-22,3704.75,1659.25,2210.5,68.62951048564963,45.940835645964114,23.943838260593175,3,-3.4888308442550553,0.0
SS-C031_cor,SS-C031_cor,71500,3994.0,1488.0,2290.5,71.31104308533091,43.52677845379694,25.59402800069953,15,-3.4756850558532406,1.0
SS-C033,SS-C033,11-22,2923.5,1411.0,1506.0,61.00331152798714,42.34911505890335,19.685502461750115,15,-3.091462334442408,1.0
SS-C036,SS-C036,10-11,3900.0,1522.0,2379.5,70.45242313653627,44.009604206723864,26.630666860426686,15,-1.9148688677750485,0.0
SS-C039,SS-C039,10-11,2374.5,1031.0,1379.5,54.78432147819019,36.19439505177127,19.24552538354026,15,0.26518049341969174,0.0
SS-C242,SS-C242,10-11,2581.5,1004.0,1643.0,57.3307602017584,35.75264095252548,23.506840799416693,15,2.971925171912943,0.0
SS-C271,SS-C271,10-18,3399.0,1556.5,1967.5,65.78066565948342,44.515516726070686,22.903499175932694,15,-2.7899838408648066,1.0
SS-C272,SS-C272,11-22,3125.0,988.0,2137.0,63.078313050504,35.467741261579384,27.610571788924616,3,3.5668430933792763,1.0
SS-C290,SS-C290,71200,3149.0,1198.0,1930.5,63.315088004584496,39.025499551120575,25.01399741042699,15,0.8257204045091946,0.0
SS-C291,SS-C291,71500,3166.0,793.5,2107.5,63.49075837184121,31.756645536413387,28.23608824788059,15,3.940566559483269,0.0
XL280a,XL280a,71500,2623.5,716.0,1891.0,57.76997184231071,30.19336870954244,26.84546917965873,15,6.042420037846831,0.0
XL280alpha,XL280alpha,71200,3558.5,1522.0,2428.0,67.30749863344039,44.01850510846553,29.304001248347088,15,2.6784047507825015,0.0
